domain,fake,satire,bias,conspiracy,state,junksci,hate,clickbait,unreliable,political,reliable
guccifer2.wordpress.com,0,0,0,0,0,0,0,0,1,0,0
gulagbound.com,0,0,337,0,0,0,0,0,0,0,0
hangthebankers.com,0,0,0,43,0,0,0,0,0,0,0
healthimpactnews.com,0,0,0,0,0,381,0,0,0,0,0
healthnutnews.com,0,0,0,0,0,44,0,0,0,0,0
healthy-holistic-living.com,0,0,0,0,0,33,0,0,0,0,0
healthycareandbeauty.com,7,0,0,0,0,0,0,0,0,0,0
heartland.org,0,0,61,0,0,0,0,0,0,0,0
henrymakow.com,0,0,0,80,0,0,0,0,0,0,0
heritage.org,0,0,0,0,0,0,0,0,0,396,0
horowitzfreedomcenter.org,0,0,2,0,0,0,0,0,0,0,0
humansarefree.com,0,0,0,99,0,0,0,0,0,0,0
humortimes.com,0,142,0,0,0,0,0,0,0,0,0
huzlers.com,0,35,0,0,0,0,0,0,0,0,0
icr.org,0,0,0,0,0,265,0,0,0,0,0
ifyouonlynews.com,0,0,0,0,0,0,0,0,334,0,0
ihr.org,0,0,0,0,0,0,79,0,0,0,0
ijr.com,0,0,0,0,0,0,0,0,0,162,0
illuminati-news.com,0,0,0,13,0,0,0,0,0,0,0
in.reuters.com,0,0,0,0,0,0,0,0,0,0,457
in5d.com,0,0,0,0,0,205,0,0,0,0,0
indianexpress.com,0,0,0,0,0,0,0,0,0,0,1346
infiniteunknown.net,0,0,0,1228,0,0,0,0,0,0,0
informationclearinghouse.info,0,0,0,148,0,0,0,0,0,0,0
infowars.com,0,0,0,524,0,0,0,0,0,0,0
intellihub.com,0,0,0,103,0,0,0,0,0,0,0
intrendtoday.com,8,0,0,0,0,0,0,0,0,0,0
intrepidreport.com,0,0,56,0,0,0,0,0,0,0,0
investmentresearchdynamics.com,0,0,0,252,0,0,0,0,0,0,0
investmentwatchblog.com,0,0,8042,0,0,0,0,0,0,0,0
islamicanews.com,0,26,0,0,0,0,0,0,0,0,0
itaglive.com,5,0,0,0,0,0,0,0,0,0,0
jackpineradicals.com,0,0,0,0,0,0,0,0,0,1403,0
jacobinmag.com,0,0,0,0,0,0,0,0,0,543,0
jamesrgrangerjr.com,0,0,7,0,0,0,0,0,0,0,0
jesus-is-savior.com,0,0,0,310,0,0,0,0,0,0,0
jewsnews.co.il,0,0,0,0,0,0,0,0,25,0,0
jihadwatch.org,0,0,0,1455,0,0,0,0,0,0,0
johnnyrobish.com,0,2,0,0,0,0,0,0,0,0,0
journal-neo.org,0,0,289,0,0,0,0,0,0,0,0
judicialwatch.org,0,0,0,0,0,0,0,0,0,2898,0
katehon.com,0,0,5563,0,0,0,0,0,0,0,0
kauilapele.wordpress.com,0,0,0,0,0,0,0,0,0,0,0
kingworldnews.com,0,0,0,0,0,0,0,0,0,0,0
knowledgeoftoday.org,0,0,0,104,0,0,0,0,0,0,0
krbcnews.com,2,0,0,0,0,0,0,0,0,0,0
landoverbaptist.org,0,87,0,0,0,0,0,0,0,0,0
latino.foxnews.com,0,0,0,0,0,0,0,0,0,0,120
learnprogress.org,5,0,0,0,0,0,0,0,0,0,0
legorafi.fr,0,0,0,0,0,0,0,0,0,0,0
